zip_3,Median,Pop
263,34749.05362258064,2891.032258064516
264,35012.77170714286,2071.5
265,40628.96927878788,5351.060606060606
266,35512.78637692308,1226.923076923077
267,36478.23799130434,2418.8260869565215
268,34326.383945454545,1512.8181818181818
270,46349.96570882353,7787.5
271,42327.61096666667,24570.444444444445
272,46718.41933421053,13558.578947368422
273,44311.434534374996,10139.5625
274,47439.419355555554,30271.222222222223
275,53720.619784615395,12283.061538461538
276,63713.91302666667,24056.533333333333
277,51442.03555,26921.75
278,36731.53546052633,6448.881578947368
279,42978.29641636362,2941.5272727272727
280,46802.05090909091,12438.431818181818
281,49064.5889952381,11084.47619047619
282,59070.83878750001,25361.875
283,37563.500109859175,10455.830985915492
284,41543.95217818182,6751.472727272727
285,41747.49880655737,6877.377049180328
286,38115.779523376616,7597.493506493506
287,40505.22011739131,6717.31884057971
288,42059.84420000001,20928.4
289,36291.13303333333,5481.166666666667
290,38250.31986734693,8326.204081632653
291,36957.19587826086,7922.239130434783
292,43242.2572,23019.0
293,39530.63250444444,8543.466666666667
294,45555.07767321429,13006.017857142857
295,34952.526710714286,11211.07142857143
296,44183.38814615386,14691.676923076922
297,44261.39489999999,14373.083333333334
298,37001.83532571429,6125.085714285714
299,41498.84507666666,6881.7
300,64101.972133333315,36131.333333333336
301,54156.42445789473,20739.21052631579
302,53239.8036851852,18537.09259259259
303,56417.35132250002,22397.425
304,33791.41740697674,5012.418604651163
305,44335.520616666654,10384.55
306,40276.94049534885,8922.023255813954
307,40062.887483870974,11671.225806451614
308,39618.56998636363,8381.454545454546
309,41529.615737500004,25274.125
310,37297.800940243906,6568.59756097561
312,38641.99908888889,18432.777777777777
313,48579.31412083333,8193.0
314,45136.54104,22788.6
315,41418.79661363637,7599.068181818182
316,35098.53903999999,6065.8
317,37219.502267346936,7609.775510204082
318,44594.425903703705,3196.925925925926
319,46224.98858571429,26112.14285714286
320,46195.56509111111,12229.177777777777
321,42603.920407142854,13297.952380952382
322,50626.6215142857,25631.628571428573
323,43443.521994117655,11952.470588235294
324,39903.063634090904,7320.159090909091
325,47677.2618375,15680.675
326,40822.275102439016,8589.780487804877
327,54476.47772439025,22894.121951219513
328,54211.247240625,27298.0
329,52767.15485454545,18664.090909090908
330,54062.475418000016,32157.26
331,53577.1942483871,30113.629032258064
333,65730.98475925926,28355.11111111111
334,59699.17537894737,24793.105263157893
335,54495.78306097561,17055.268292682926
336,50805.31756538462,27198.384615384617
337,48113.55355641026,18631.02564102564
338,42387.96670408165,14306.122448979591
