"","last_fico_range_high","last_fico_range_low","pub_rec_bankruptcies","revol_util","inq_last_6mths","is_rent","is_bad"
"238",679,675,0,79.4,1,TRUE,0
"239",724,720,0,71,2,TRUE,0
"240",589,585,0,35.7,1,TRUE,1
"241",499,0,0,74.5,0,TRUE,0
"242",709,705,0,97.8,0,FALSE,0
"243",629,625,0,93.2,0,FALSE,0
"244",709,705,0,83.6,1,FALSE,0
"245",794,790,0,67.7,0,TRUE,0
"246",739,735,0,51.6,0,TRUE,0
"247",689,685,0,55.9,1,TRUE,0
"248",744,740,0,66,3,TRUE,0
"249",699,695,0,64.5,1,TRUE,0
"250",624,620,0,50.1,3,TRUE,0
"251",664,660,0,22.6,2,FALSE,0
"252",589,585,0,79.7,3,TRUE,1
"253",804,800,0,18.7,0,FALSE,0
"254",739,735,0,43.3,0,FALSE,0
"255",744,740,0,77.9,1,TRUE,0
"256",654,650,0,90.6,1,TRUE,1
"257",679,675,0,43,1,TRUE,0
"258",804,800,0,57.3,0,FALSE,0
"259",719,715,0,34.4,3,FALSE,0
"260",784,780,0,24.4,0,FALSE,0
"261",674,670,0,66.1,2,FALSE,0
"262",659,655,0,55.5,1,FALSE,0
"263",754,750,0,80.5,0,TRUE,0
"264",654,650,0,47.6,2,FALSE,0
"265",784,780,0,30.3,4,FALSE,0
"266",604,600,0,55.5,1,TRUE,0
"267",634,630,0,83.5,0,TRUE,1
"268",699,695,0,94.1,0,TRUE,0
"269",774,770,0,53,1,FALSE,0
"270",724,720,0,9.9,1,TRUE,0
"271",524,520,0,58.5,1,TRUE,1
"272",759,755,1,33.3,0,TRUE,0
"273",544,540,0,34.4,0,TRUE,0
"274",604,600,0,94.1,0,TRUE,1
"275",814,810,0,4,0,FALSE,0
"276",759,755,0,39.8,0,TRUE,0
"277",784,780,0,61.5,0,TRUE,0
"278",689,685,0,66.3,1,TRUE,0
"279",599,595,0,63.9,0,FALSE,1
"280",734,730,0,54.2,1,TRUE,0
"281",604,600,0,91.9,2,TRUE,0
"282",769,765,0,45.2,0,FALSE,0
"283",719,715,0,25.7,2,TRUE,0
