total_rec_prncp,last_fico_range_high,last_fico_range_low,last_pymnt_delta,last_pymnt_amnt,zip_code,is_bad
8e3,689,685,731.0,1095.85,112xx,0.0
14125.0,744,740,731.0,6054.96,972xx,0.0
14e3,699,695,1096.0,956.54,980xx,0.0
8975.0,624,620,336.0,8187.44,770xx,0.0
4e3,664,660,397.0,785.51,275xx,0.0
1373.86,589,585,456.0,134.18,802xx,1.0
10500.0,804,800,1096.0,643.26,760xx,0.0
5500.0,739,735,943.0,1186.09,187xx,0.0
7350.0,744,740,1005.0,1204.05,917xx,0.0
9635.96,654,650,852.0,4378.02,630xx,1.0
12e3,679,675,1127.0,24.36,435xx,0.0
5e3,804,800,1400.0,1561.93,488xx,0.0
8e3,719,715,152.0,7778.22,972xx,0.0
4500.0,784,780,731.0,1912.16,287xx,0.0
18e3,674,670,1035.0,1805.88,705xx,0.0
12300.0,659,655,1705.0,1665.96,592xx,0.0
12e3,754,750,213.0,10731.86,318xx,0.0
1e4,654,650,852.0,2939.1,928xx,0.0
6e3,784,780,701.0,2695.52,549xx,0.0
12e3,604,600,670.0,5971.51,212xx,0.0
8330.52,634,630,821.0,381.04,900xx,1.0
7e3,699,695,1127.0,243.64,926xx,0.0
26825.0,774,770,91.0,26684.35,604xx,0.0
1400.0,724,720,305.0,817.34,347xx,0.0
5147.59,524,520,762.0,368.08,274xx,1.0
3200.0,759,755,1035.0,317.41,921xx,0.0
8e3,544,540,974.0,1483.12,921xx,0.0
285.76,604,600,91.0,268.32,941xx,1.0
5e3,814,810,731.0,2065.02,070xx,0.0
1800.0,759,755,305.0,1440.67,488xx,0.0
35e3,784,780,305.0,27308.49,606xx,0.0
18e3,689,685,548.0,10185.73,112xx,0.0
5053.24,599,595,456.0,438.07,265xx,1.0
5e3,734,730,336.0,3833.62,785xx,0.0
8e3,604,600,913.0,644.42,606xx,0.0
1e4,769,765,762.0,3845.46,027xx,0.0
1e4,719,715,793.0,2375.97,089xx,0.0
12e3,744,740,1127.0,409.71,813xx,0.0
23200.0,779,775,336.0,18024.97,483xx,0.0
16714.88,699,695,1736.0,430.78,069xx,0.0
4800.0,709,705,1127.0,190.27,260xx,0.0
7300.0,719,715,974.0,1426.64,201xx,0.0
10400.0,529,525,974.0,1976.75,349xx,0.0
6600.0,719,715,487.0,4304.99,322xx,0.0
12e3,664,660,1127.0,391.28,075xx,0.0
13250.0,649,645,487.0,9026.78,124xx,0.0
12e3,709,705,1127.0,404.66,940xx,0.0
25e3,684,680,1127.0,812.89,941xx,0.0
6e3,624,620,1127.0,204.1,967xx,0.0
12e3,714,710,670.0,473.95,940xx,0.0
14400.0,664,660,305.0,11736.19,900xx,0.0
1e4,539,535,1127.0,345.52,111xx,0.0
8e3,664,660,1127.0,278.01,100xx,0.0
2798.78,544,540,487.0,287.45,891xx,1.0
8464.18,614,610,670.0,673.72,773xx,1.0
4677.94,599,595,670.0,445.13,945xx,1.0
13250.0,684,680,1127.0,444.97,191xx,0.0
14e3,659,655,1127.0,509.76,902xx,0.0
6317.7,579,575,821.0,281.46,997xx,1.0
1e4,674,670,793.0,3641.77,104xx,0.0
23250.0,714,710,1400.0,8847.24,076xx,0.0
4e3,724,720,821.0,1192.02,972xx,0.0
13e3,719,715,882.0,3659.9,951xx,0.0
28e3,669,665,1127.0,953.93,538xx,0.0
1e4,689,685,397.0,7193.77,021xx,0.0
2e4,559,555,1127.0,631.87,304xx,0.0
18e3,769,765,305.0,14579.33,331xx,0.0
2327.73,614,610,670.0,238.0,950xx,1.0
13993.4,539,535,1217.0,643.58,112xx,1.0
1e4,594,590,943.0,2258.8,113xx,0.0
4200.0,709,705,1096.0,129.65,070xx,0.0
2367.51,694,690,305.0,478.64,956xx,1.0
11594.61,554,550,1339.0,449.97,234xx,1.0
24e3,659,655,1127.0,853.26,308xx,0.0
4475.0,739,735,1127.0,168.52,809xx,0.0
18616.67,684,680,1736.0,472.14,913xx,0.0
12e3,684,680,1127.0,414.83,071xx,0.0
18e3,664,660,1370.0,6909.59,363xx,0.0
587.51,629,625,183.0,167.08,296xx,1.0
3e3,724,720,670.0,573.77,240xx,0.0
25e3,704,700,1674.0,4337.17,830xx,0.0
16625.28,719,715,1736.0,467.23,113xx,0.0
4244.34,524,520,456.0,386.7,028xx,1.0
2e4,724,720,1127.0,727.38,011xx,0.0
1e4,739,735,943.0,1990.92,919xx,0.0
15e3,714,710,762.0,5699.63,300xx,0.0
12e3,679,675,913.0,2940.47,212xx,0.0
12588.07,804,800,1736.0,290.64,760xx,0.0
6300.0,749,745,1127.0,218.08,100xx,0.0
18545.62,709,705,1736.0,494.59,622xx,0.0
23150.0,769,765,305.0,21393.19,207xx,0.0
8250.0,669,665,731.0,6046.08,140xx,0.0
18654.45,639,635,1736.0,451.9,707xx,0.0
1186.67,544,540,183.0,330.76,331xx,1.0
6036.95,619,615,305.0,762.08,336xx,1.0
14400.0,584,580,1127.0,496.51,619xx,0.0
6e3,629,625,1096.0,418.17,208xx,0.0
22e3,689,685,1127.0,819.9,618xx,0.0
2613.54,524,520,305.0,396.92,014xx,1.0
16e3,759,755,1127.0,587.21,644xx,0.0
1e4,674,670,1127.0,336.85,113xx,0.0
11625.0,589,585,1523.0,3349.05,283xx,0.0
5358.77,499,0,670.0,335.45,405xx,1.0
3500.0,719,715,91.0,3379.25,330xx,0.0
9600.0,729,725,913.0,2124.39,276xx,0.0
9875.0,714,710,1127.0,314.45,109xx,0.0
16975.0,814,810,397.0,12653.57,631xx,0.0
4800.0,739,735,305.0,3731.1,336xx,0.0
7800.0,804,800,1127.0,4.89,895xx,0.0
2e4,749,745,701.0,8922.33,770xx,0.0
4327.31,659,655,517.0,303.34,967xx,1.0
15050.0,754,750,670.0,11241.88,243xx,0.0
5e3,779,775,852.0,1344.77,923xx,0.0
9e3,704,700,640.0,4548.72,117xx,0.0
7200.0,714,710,1127.0,232.43,331xx,0.0
2769.05,624,620,1736.0,77.88,330xx,0.0
11624.71,634,630,1096.0,654.31,941xx,1.0
25e3,734,730,336.0,19410.22,917xx,0.0
1e4,614,610,1127.0,371.75,960xx,0.0
1251.86,624,620,183.0,297.72,181xx,1.0
15550.0,659,655,1127.0,534.3,330xx,0.0
15784.19,599,595,1736.0,406.85,076xx,0.0
7500.0,694,690,1127.0,270.37,900xx,0.0
8875.0,744,740,1127.0,291.21,922xx,0.0
4500.0,744,740,943.0,182.85,432xx,0.0
5800.0,694,690,1127.0,200.51,787xx,0.0
1e4,679,675,913.0,2571.77,070xx,0.0
1e4,739,735,731.0,4002.95,303xx,0.0
14e3,779,775,428.0,9596.96,945xx,0.0
25e3,504,500,1552.0,6657.02,224xx,0.0
6603.89,579,575,640.0,381.04,975xx,1.0
24e3,759,755,1127.0,759.52,330xx,0.0
14e3,674,670,974.0,2364.03,105xx,0.0
12e3,554,550,1127.0,418.47,853xx,0.0
4881.73,634,630,731.0,338.93,088xx,1.0
748.57,539,535,122.0,270.04,986xx,1.0
5600.0,754,750,1127.0,192.37,950xx,0.0
7500.0,784,780,731.0,3005.84,928xx,0.0
7e3,734,730,1127.0,243.02,218xx,0.0
5400.0,749,745,1127.0,174.22,652xx,0.0
16e3,809,805,1127.0,553.45,191xx,0.0
27575.0,794,790,913.0,14468.07,782xx,0.0
2298.98,589,585,793.0,121.38,410xx,1.0
4125.0,709,705,1552.0,890.86,480xx,0.0
9800.0,714,710,762.0,3866.0,941xx,0.0
15700.0,599,595,1492.0,4483.38,331xx,0.0
5e3,719,715,1127.0,166.04,331xx,0.0
9900.0,789,785,1127.0,347.26,432xx,0.0
4e3,664,660,152.0,3658.15,328xx,0.0
15e3,624,620,1127.0,508.58,325xx,0.0
6250.0,714,710,1127.0,231.21,540xx,0.0
6400.0,664,660,1127.0,230.53,540xx,0.0
8850.0,699,695,1461.0,2655.46,891xx,0.0
12e3,644,640,1127.0,450.23,088xx,0.0
15e3,754,750,852.0,4183.77,719xx,0.0
6500.0,704,700,1096.0,228.19,982xx,0.0
8e3,709,705,1127.0,297.31,065xx,0.0
19825.0,704,700,1492.0,5937.63,067xx,0.0
15e3,719,715,366.0,11232.83,081xx,0.0
10200.0,589,585,670.0,4856.49,954xx,0.0
9e3,779,775,1127.0,313.32,346xx,0.0
6500.0,674,670,913.0,1547.92,347xx,0.0
23e3,749,745,670.0,17827.7,480xx,0.0
2e3,669,665,1096.0,65.78,925xx,0.0
8e3,764,760,1096.0,287.22,926xx,0.0
8875.0,729,725,640.0,4226.2,410xx,0.0
300.67,654,650,275.0,54.72,442xx,1.0
8e3,649,645,1127.0,13.95,194xx,0.0
1819.26,594,590,275.0,819.08,913xx,1.0
6500.0,664,660,1005.0,863.1,025xx,0.0
9600.0,684,680,731.0,4254.59,122xx,0.0
15371.21,544,540,1766.0,372.25,173xx,0.0
1e4,709,705,1096.0,321.98,980xx,0.0
15e3,554,550,1096.0,520.23,282xx,0.0
9e3,724,720,974.0,1391.04,919xx,0.0
1e4,669,665,1096.0,318.38,112xx,0.0
22.24,499,0,31.0,34.5,080xx,1.0
14e3,679,675,548.0,7854.53,760xx,0.0
1378.65,524,520,213.0,291.63,194xx,1.0
15e3,699,695,1339.0,5880.48,334xx,0.0
4500.0,669,665,793.0,1636.76,120xx,0.0
3e3,704,700,1096.0,100.23,786xx,0.0
1e4,709,705,1096.0,339.84,082xx,0.0
21250.0,729,725,1370.0,7681.95,641xx,0.0
13371.26,549,545,1158.0,1370.08,114xx,1.0
35e3,754,750,1644.0,79.28,981xx,0.0
7200.0,699,695,913.0,1708.04,766xx,0.0
5690.48,499,0,731.0,397.77,850xx,1.0
23e3,669,665,213.0,19664.2,766xx,0.0
9606.12,664,660,1066.0,494.59,945xx,1.0
6e3,699,695,1705.0,357.86,113xx,0.0
7e3,509,505,1096.0,232.27,229xx,0.0
21e3,684,680,578.0,11650.08,430xx,0.0
8250.0,729,725,1096.0,278.92,218xx,0.0
13e3,724,720,731.0,5207.35,941xx,0.0
18e3,809,805,1096.0,574.46,760xx,0.0
7200.0,754,750,1005.0,873.09,850xx,0.0
16500.0,719,715,517.0,9783.86,840xx,0.0
8125.0,679,675,1096.0,262.23,606xx,0.0
18800.0,824,820,1096.0,594.74,926xx,0.0
26800.0,734,730,366.0,20489.14,920xx,0.0
19200.0,714,710,731.0,7516.94,744xx,0.0
8475.0,669,665,793.0,5908.59,933xx,0.0
4e3,679,675,244.0,3326.13,451xx,0.0
4e3,689,685,943.0,824.36,900xx,0.0
12e3,659,655,943.0,2286.28,907xx,0.0
2625.0,699,695,1127.0,6.4,891xx,0.0
16768.41,774,770,1736.0,414.09,728xx,0.0
7e3,824,820,1096.0,236.31,159xx,0.0
11300.0,609,605,456.0,7497.46,333xx,0.0
4e3,694,690,1005.0,516.99,933xx,0.0
8e3,779,775,487.0,4868.26,293xx,0.0
4684.23,599,595,428.0,522.41,028xx,1.0
4375.0,539,535,1096.0,152.4,945xx,0.0
